0,1,2,3,4,5,6,7,8,9,10,11,12,label
-633.84015,105.538315,-34.720474,16.80796,23.340178,-31.147112,10.777681,-9.247075,7.570034,-9.047684,-9.597293,1.4514371,2.5148697,0
-611.7989,116.2571,-31.399809,4.3728766,29.428713,-10.81738,0.7115015,-11.173541,5.515273,-8.257262,-12.629673,-0.6756004,4.285168,0
-645.7193,87.16918,-39.810524,16.70009,29.372448,-16.06265,11.469464,-15.560032,5.853095,-5.1983624,-9.927786,3.15414,5.708044,0
-648.99335,120.89376,-29.154875,7.1585045,46.051567,-22.544922,1.0602021,-16.52909,10.071013,-9.518718,-10.48675,0.42825273,-0.29902774,0
-657.0974,94.91483,-34.169163,2.7617445,30.935398,-18.249544,4.247821,-10.652609,7.2434483,-8.27244,-9.901679,-0.7094589,2.8558638,0
-665.4366,98.832344,-36.702995,6.863891,36.776684,-25.255407,9.3682,-11.862323,9.038438,-10.422958,-11.305951,3.12289,6.2817097,0
-663.3492,119.476685,-28.300037,-0.32387438,37.16537,-26.569239,11.211563,-15.400413,9.19089,-10.388658,-11.581145,2.1946037,1.5804603,0
-620.36633,108.09392,-53.340214,14.895546,36.12314,-26.831896,10.121054,-12.590631,10.068468,-8.980239,-13.665734,0.56204915,-1.4062674,0
-598.6771,108.24127,-31.298191,24.624825,23.517868,-22.094166,6.4987164,-5.5030227,1.9706305,-7.487793,-9.935857,0.42870024,-0.3693353,0
-613.45605,100.45879,-35.053627,11.620528,23.796862,-17.487152,2.5660207,-6.152787,0.88538784,-7.2460036,-7.32052,-0.2588158,0.2592597,0
-589.4989,114.58141,-29.971394,5.698105,23.55843,-12.087134,-3.5699008,-3.9400542,5.3617153,-4.588762,-11.477109,0.352515,2.8056176,0
-625.11786,109.93809,-39.77726,9.413038,28.09413,-22.33838,11.807771,-6.61778,8.22366,-7.62897,-9.073799,2.0486045,2.2520478,0
-612.97864,107.477974,-41.547886,16.624498,21.498865,-21.895693,16.492136,-12.0361185,4.92806,-7.5797076,-12.945249,5.714558,9.4386635,0
-637.0555,116.25721,-32.547398,17.469774,33.181995,-27.005772,17.901676,-9.357365,11.537909,-8.65006,-9.971932,7.1652136,2.0343826,0
-607.0465,121.12744,-32.635933,16.617336,28.743784,-20.38985,8.167217,-9.910839,11.591844,-7.9107385,-15.570937,4.974927,6.071893,0
-625.3356,106.15899,-38.125656,22.22032,27.222528,-25.644024,12.13596,-14.054034,12.028288,-6.660781,-12.932407,3.0247948,2.44684,0
-617.6583,127.16008,-31.184845,4.369083,31.99751,-15.586907,8.760031,-10.467875,12.260924,-5.8898845,-11.165969,4.461182,7.665982,0
-609.6973,93.54984,-36.778893,28.13196,22.914305,-16.129868,12.100306,-12.901453,2.3923867,-3.6367748,-11.492227,2.5951712,3.3166034,0
-609.59045,116.841064,-35.45011,18.384926,26.339518,-25.425013,8.388086,-9.593587,9.522151,-7.1436934,-9.978312,3.788703,2.8582463,0
-593.3243,126.47309,-34.00047,4.7743587,28.44412,-10.770246,6.5952334,-5.0529757,3.704301,-8.839513,-6.293756,0.8157193,0.7104629,0
-604.237,113.077415,-40.648296,13.618096,33.213684,-13.898795,8.143592,-8.4290085,4.047986,-7.867248,-10.302911,0.7472446,3.763826,0
-627.11993,118.02457,-32.866142,10.032412,30.15174,-20.166727,10.417369,-13.926412,10.366608,-7.4404783,-13.042671,4.1690936,3.9088838,0
