0,1,2,3,4,5,6,7,8,9,10,11,12,label
-590.18494,137.14471,-33.398663,10.659496,35.115074,-14.112646,4.166758,-12.298804,11.701857,-5.7229304,-14.690882,0.33859992,4.9565516,0
-558.434,127.45475,-48.967247,13.702347,22.814001,-15.464129,9.219519,-10.28924,2.6289406,-5.593914,-12.17765,2.4351563,3.8757987,0
-609.89825,113.525116,-36.62187,16.13507,24.20675,-9.880244,-0.64986885,2.610491,2.984051,-6.752606,-13.768799,2.8209507,1.4965823,1
-547.453,132.19632,-46.429855,22.430304,21.85661,-18.980167,-3.640258,-0.99975556,2.8743048,-9.992484,-15.4393015,10.573998,2.1361802,1
-597.9154,151.70874,-39.637184,12.652247,36.565273,-2.0280435,-4.2084403,-0.9094697,3.9746106,-7.0087094,-15.281733,3.7088406,-0.93673307,1
-622.1228,106.4487,-37.639153,25.303226,19.990408,-15.737,-1.7827222,0.8212472,8.351415,-1.9145803,-11.629235,6.8138556,-1.207543,1
-625.1256,100.36899,-24.537243,8.665721,21.343048,0.28505102,0.06462376,-2.4918604,1.7587826,-1.6853926,-7.0039186,3.2436154,-0.23763932,1
-635.6122,109.984215,-29.112955,23.496788,21.638315,-13.275988,-1.1144526,1.6868246,4.4908524,-5.497418,-12.54174,8.081434,2.0083516,1
-615.18097,94.47372,-36.394707,17.547773,23.735706,-6.2306356,1.0325778,-2.080128,2.0676053,-1.1574048,-10.612307,2.8657725,0.7530325,1
-611.00183,91.58054,-36.042393,23.219437,22.95005,-11.029925,0.119644895,-1.6467696,0.56543285,-3.7837255,-10.816542,4.371813,0.33140278,1
-639.4927,116.56764,-45.159504,28.299736,29.174143,-8.238174,1.6168399,-2.0424466,4.514839,-4.196435,-12.379636,7.5317135,-0.49976647,1
-654.8149,110.32707,-35.915436,20.325151,26.473257,-8.296295,-2.473975,-0.59056413,3.3286598,-6.549038,-12.111386,4.988726,-1.0001299,1
-563.16656,156.78929,-42.271362,18.771156,31.520363,-9.285941,-3.5462692,-3.5498114,2.554051,-5.5241284,-15.0941515,5.145781,-1.0885274,1
-632.88055,124.040504,-22.560299,3.502679,25.008196,-0.6493629,-9.1346655,-2.9331498,6.8354926,-5.386977,-13.736955,4.819334,3.646796,1
